"lang"
{
	"Language"		"English"
		"DOTA_Tooltip_berserkers_call_datadriven"								"Commanding Shout"
		"DOTA_Tooltip_ability_berserkers_call_datadriven_Description"			"The warrior gains an armor bonus while coercing all nearby enemies into attacking himself."
		"DOTA_Tooltip_ability_berserkers_call_datadriven_Lore"					""
		"DOTA_Tooltip_ability_berserkers_call_datadriven_duration"				"DURATION:"
		"DOTA_Tooltip_ability_berserkers_call_datadriven_bonus_armor"			"BONUS ARMOR:"

		"DOTA_Tooltip_ability_heavy_swing"										"Inspired Attack"
		"DOTA_Tooltip_heavy_swing"												"Inspired Attack"
		"DOTA_Tooltip_ability_heavy_swing_Description"							"The warrior infuses his weapon with holy energy. Enemies in a radius are damaged."
		"DOTA_Tooltip_ability_heavy_swing_Lore"									""
		"DOTA_Tooltip_ability_heavy_swing_radius"								"RADIUS:"

		"DOTA_Tooltip_ability_sunder_armor"										"Demoralizing Swing"
		"DOTA_Tooltip_sunder_armor"												"Demoralizing Swing"
		"DOTA_Tooltip_ability_sunder_armor_Description"							"The warrior demoralizes his enemeis with an attack that breaks their spirit. Enemies in a radius are damaged and have reduced armor."
		"DOTA_Tooltip_ability_sunder_armor_Lore"								""
		"DOTA_Tooltip_ability_sunder_armor_radius"								"RADIUS:"
		"DOTA_Tooltip_ability_sunder_armor_armor_reduction"						"ARMOR REDUCTION:"
		"DOTA_Tooltip_ability_sunder_armor_magic_armor_reduction"				"MAGIC ARMOR REDUCTION:"
		"DOTA_Tooltip_ability_sunder_armor_reduction_duration"					"DURATION:"

		"DOTA_Tooltip_ability_warrior_pounce"									"Leap"
		"DOTA_Tooltip_warrior_pounce"											"Leap"
		"DOTA_Tooltip_ability_warrior_pounce_Description"						"The warrior leaps into battle, sundering the earth where he lands. Enemies in a radius are stunned and damaged."
		"DOTA_Tooltip_ability_warrior_pounce_Lore"								""
		"DOTA_Tooltip_ability_warrior_pounce_radius"							"RADIUS:"
		"DOTA_Tooltip_ability_warrior_pounce_leap_distance"						"DISTANCE:"
		"DOTA_Tooltip_ability_warrior_pounce_stun_duration"						"STUN DURATION:"

		"DOTA_Tooltip_ability_rift_bolt"										"Rift Bolt"
		"DOTA_Tooltip_rift_bolt"												"Rift Bolt"
		"DOTA_Tooltip_ability_rift_bolt_Description"							"A bolt of rift energy."
		"DOTA_Tooltip_ability_rift_bolt_Lore"									""

		"DOTA_Tooltip_ability_tractor_beam"										"Remove Essence"
		"DOTA_Tooltip_tractor_beam"												"Remove Essence"
		"DOTA_Tooltip_ability_tractor_beam_Description"							"A channeling attack that renders the target immobile, while also tragging them towards the caster."
		"DOTA_Tooltip_ability_tractor_beam_Lore"								""

		"DOTA_Tooltip_Ability_freezing_explosion"								"Freezing Explosion"
		"DOTA_Tooltip_freezing_explosion"										"Freezing Explosion"
		"DOTA_Tooltip_ability_freezing_explosion_Description"					"The earth is chilled. Units standing on the chilled earth are slowed and take damage after a delay."
		"DOTA_Tooltip_ability_freezing_explosion_Lore"							""
		"DOTA_Tooltip_ability_freezing_explosion_delay"							"DELAY:"
		"DOTA_Tooltip_ability_freezing_explosion_radius"						"RADIUS:"

		//------------------------
		// Modifiers
		//------------------------
		"DOTA_Tooltip_modifier_crippling_attack_blind"							"Crippling Attacks Blind"
		"DOTA_Tooltip_modifier_crippling_attack_blind_Description"				"Misses some attacks"

		"DOTA_Tooltip_modifier_wire_carrier"									"Electric Trap"
		"DOTA_Tooltip_modifier_wire_carrier_Description"						"Moving faster while placing the trap"

		"DOTA_Tooltip_modifier_electric_wire_caught"							"Electric Trap Slowed"
		"DOTA_Tooltip_modifier_electric_wire_caught_Description"				"Caught in an electric trap"

		"DOTA_Tooltip_modifier_fury_swipe_channel"								"Fury Slashes"
		"DOTA_Tooltip_modifier_fury_swipe_channel_Description"					"Damaging nearby enemies"

		"DOTA_Tooltip_modifier_shooting_fireballs"								"Fire Barrage"
		"DOTA_Tooltip_modifier_shooting_fireballs_Description"					"Rapidly shooting fireballs"

		"DOTA_Tooltip_modifier_freezing_field_caster_datadriven"				"Blizzard"

		"DOTA_Tooltip_modifier_shield_wall"										"Shield Wall"

		"DOTA_Tooltip_modifier_holy_form"										"Holy Form"
		"DOTA_Tooltip_modifier_holy_form_Description"							"A being of pure light"

		"DOTA_Tooltip_modifier_flamestrike"										"Smoldering Earth"
		"DOTA_Tooltip_modifier_flamestrike_Description"							"Taking damage over time"

		"DOTA_Tooltip_modifier_berserkers_call_caster_datadriven"				"Commanding Shout"
		"DOTA_Tooltip_modifier_berserkers_call_caster_datadriven_Description"	"Increased armor"

		"DOTA_Tooltip_modifier_berserkers_call_enemy_datadriven"				"Commanding Shout"
		"DOTA_Tooltip_modifier_berserkers_call_enemy_datadriven_Description"	"Forced to attack the warrior"

		"DOTA_Tooltip_modifier_broken_armor"									"Demoralizing Swing"
		"DOTA_Tooltip_modifier_broken_armor_Description"						"Reduced armor"

		"DOTA_Tooltip_modifier_tractor_beam"									"Remove Essence"
		"DOTA_Tooltip_modifier_tractor_beam_Description"						"Trapped in the beam"

		//------------------------
		// Items
		//------------------------
		"DOTA_Tooltip_ability_item_example_item"								"Shield Blaster"
		"DOTA_Tooltip_ability_item_example_item_Description"					"Gives the caster a 50% damage reduction for 4 seconds while firing a projectile that deals damage 125 PURE damage to any enemy it hits."
		"DOTA_Tooltip_ability_item_example_item_Lore"							""
		"DOTA_Tooltip_ability_item_example_item_duration"						"DURATION:"
		"DOTA_Tooltip_ability_item_example_item_damage_reduction"				"DAMAGE REDUCTION:"
		"DOTA_Tooltip_ability_item_example_item_radius"							"PROJECTILE RADIUS:"
		"DOTA_Tooltip_ability_item_example_item_speed"							"PROJECTILE SPEED:"
		"DOTA_Tooltip_ability_item_example_item_distance"						"DISTANCE:"
		"DOTA_Tooltip_ability_item_example_item_damage"							"DAMAGE:"
	}
}

